Country,Date,Currency(USD)*1000
Singapore,2021-07-20,731.368390258173
Singapore,2021-07-21,733.4066740007335
Singapore,2021-07-22,735.5104442483083
Singapore,2021-07-23,735.1860020585208
Singapore,2021-07-26,736.4854912358228
Singapore,2021-07-27,735.348187366718
Singapore,2021-07-28,735.9434795407712
Singapore,2021-07-29,739.1529307413704
Singapore,2021-07-30,738.6069872220991
Singapore,2021-08-02,739.1529307413704
Singapore,2021-08-03,739.5902669920863
Singapore,2021-08-04,740.1924500370096
Singapore,2021-08-05,740.3568520026653
Singapore,2021-08-06,738.2253063635021
Singapore,2021-08-09,737.1369600471768
Singapore,2021-08-10,735.8351729212657
Singapore,2021-08-11,737.3000073730001
Singapore,2021-08-12,736.7567965814484
Singapore,2021-08-13,738.0073800738007
Singapore,2021-08-16,737.8984651711925
Singapore,2021-08-17,734.0527049842178
Singapore,2021-08-18,734.807847747814
Singapore,2021-08-19,733.5680751173709
Singapore,2021-08-20,733.998825601879
Singapore,2021-08-23,736.8110816386678
Singapore,2021-08-24,738.0073800738007
Singapore,2021-08-25,738.8252678241596
Singapore,2021-08-26,738.7706855791962
Singapore,2021-08-27,743.2181345224824
Singapore,2021-08-30,743.6602959767978
Singapore,2021-08-31,743.1076763022962
Singapore,2021-09-01,744.4353457902182
Singapore,2021-09-02,744.601638123604
Singapore,2021-09-03,745.3230975627936
Singapore,2021-09-06,744.3245254931151
Singapore,2021-09-07,743.3286255853712
Singapore,2021-09-08,742.9420505200593
Singapore,2021-09-09,745.0454477723141
Singapore,2021-09-10,745.9903021260723
Singapore,2021-09-13,745.2675510508273
Singapore,2021-09-14,745.2675510508273
Singapore,2021-09-15,745.4342154304883
Singapore,2021-09-16,743.2733759476736
Singapore,2021-09-17,741.8947993174568
Singapore,2021-09-20,739.9733609590056
Singapore,2021-09-21,739.4808844191377
Singapore,2021-09-22,740.5213270142181
Singapore,2021-09-23,741.6747014759326
Singapore,2021-09-24,738.8798581350673
Singapore,2021-09-27,738.7161113983897
Singapore,2021-09-28,736.8110816386678
Singapore,2021-09-29,735.1319561861353
Singapore,2021-09-30,736.3770250368187
Singapore,2021-10-01,738.1163271331562
Singapore,2021-10-04,736.8653746960431
Singapore,2021-10-05,737.3000073730001
Singapore,2021-10-06,735.2400558782441
Singapore,2021-10-07,736.5397363187744
Singapore,2021-10-08,738.2253063635021
Singapore,2021-10-11,737.7895824110964
Singapore,2021-10-12,737.354372511429
Singapore,2021-10-13,739.0983000739099
Singapore,2021-10-14,741.5647015202076
Singapore,2021-10-15,741.6196974191635
Singapore,2021-10-18,741.2348973389668
Singapore,2021-10-19,743.6602959767978
Singapore,2021-10-20,744.4353457902182
Singapore,2021-10-21,742.9420505200593
Singapore,2021-10-22,741.2348973389668
Singapore,2021-10-25,742.5007425007425
Singapore,2021-10-26,741.8947993174568
Singapore,2021-10-27,741.7847340701727
Singapore,2021-10-28,744.213738185607
Singapore,2021-10-29,741.3447994662317
Singapore,2021-11-01,741.8947993174568
Singapore,2021-11-02,741.2898443291327
Singapore,2021-11-03,740.6310176270182
Singapore,2021-11-04,740.1376656058028
Singapore,2021-11-05,740.7407407407406
Singapore,2021-11-08,742.4456158586383
Singapore,2021-11-09,742.0048972323218
Singapore,2021-11-10,739.9186089530152
Singapore,2021-11-11,739.7544015386892
Singapore,2021-11-12,739.5902669920863
Singapore,2021-11-15,739.863865048831
Singapore,2021-11-16,737.354372511429
Singapore,2021-11-17,736.8110816386678
Singapore,2021-11-18,736.9739848183359
Singapore,2021-11-19,735.7268981753973
Singapore,2021-11-22,733.5680751173709
Singapore,2021-11-23,732.2788517867605
Singapore,2021-11-24,731.1010381634743
Singapore,2021-11-25,730.3001533630322
Singapore,2021-11-26,729.5010213014298
Singapore,2021-11-29,729.3414047115455
Singapore,2021-11-30,730.5135510263715
Singapore,2021-12-01,733.6218912772357
Singapore,2021-12-02,730.7804735457469
Singapore,2021-12-03,729.235032450959
Singapore,2021-12-06,730.4068366079906
Singapore,2021-12-07,731.528895391368
Singapore,2021-12-08,734.1604874825637
Singapore,2021-12-09,732.493407559332
Singapore,2021-12-10,733.6757153338225
Singapore,2021-12-13,731.3149041977476
Singapore,2021-12-14,729.92700729927
Singapore,2021-12-15,730.4601899196493
Singapore,2021-12-16,733.4604664808567
Singapore,2021-12-17,733.1378299120233
Singapore,2021-12-20,731.8501170960186
Singapore,2021-12-21,732.3324789454413
Singapore,2021-12-22,733.998825601879
Singapore,2021-12-23,735.7810315650063
Singapore,2021-12-24,736.4041385912589
Singapore,2021-12-27,737.0283018867925
Singapore,2021-12-28,738.4978952809984
Singapore,2021-12-29,739.6996819291367
Singapore,2021-12-30,739.6449704142012
Singapore,2021-12-31,739.2895427494177
Singapore,2022-01-03,738.9344565137072
Singapore,2022-01-04,737.7895824110964
Singapore,2022-01-05,738.3888355608062
Singapore,2022-01-06,735.0779182593354
Singapore,2022-01-07,737.6263185070444
Singapore,2022-01-10,737.4631268436577
Singapore,2022-01-11,740.1924500370096
Singapore,2022-01-12,742.555877329769
Singapore,2022-01-13,743.549706297866
Singapore,2022-01-14,741.9498441905326
Singapore,2022-01-17,741.2348973389668
Singapore,2022-01-18,740.5213270142181
Singapore,2022-01-19,742.2802850356295
Singapore,2022-01-20,744.0476190476189
Singapore,2022-01-21,744.1583568983478
Singapore,2022-01-24,742.0048972323218
Singapore,2022-01-25,743.7156031533542
Singapore,2022-01-26,743.549706297866
Singapore,2022-01-27,739.0983000739099
Singapore,2022-01-28,737.7895824110964
Singapore,2022-01-31,739.9733609590056
Singapore,2022-02-01,741.0701052319549
Singapore,2022-02-02,742.1150278293136
Singapore,2022-02-03,744.213738185607
Singapore,2022-02-04,743.3286255853712
Singapore,2022-02-07,744.1029838529653
Singapore,2022-02-08,743.549706297866
Singapore,2022-02-09,745.4342154304883
Singapore,2022-02-10,745.7677679170706
Singapore,2022-02-11,744.2691277165824
Singapore,2022-02-14,742.1150278293136
Singapore,2022-02-15,743.7709185570844
Singapore,2022-02-16,744.3799315170463
Singapore,2022-02-17,744.601638123604
Singapore,2022-02-18,743.0524595036409
Singapore,2022-02-21,743.2733759476735
Singapore,2022-02-22,743.4944237918216
Singapore,2022-02-23,743.2733759476736
Singapore,2022-02-24,736.3770250368187
Singapore,2022-02-25,738.7706855791962
Singapore,2022-02-28,738.061849582995
Singapore,2022-03-01,736.3770250368187
Singapore,2022-03-02,737.571913261543
Singapore,2022-03-03,736.3770250368187
Singapore,2022-03-04,734.807847747814
Singapore,2022-03-07,734.3222205903951
Singapore,2022-03-08,732.493407559332
Singapore,2022-03-09,736.7025195226167
Singapore,2022-03-10,736.1601884570083
Singapore,2022-03-11,734.484024972457
Singapore,2022-03-14,733.1915829606277
Singapore,2022-03-15,732.0644216691068
Singapore,2022-03-16,735.023888276369
Singapore,2022-03-17,738.6069872220991
Singapore,2022-03-18,737.4631268436577
Singapore,2022-03-21,738.0073800738007
Singapore,2022-03-22,736.7567965814484
Singapore,2022-03-23,736.7025195226167
Singapore,2022-03-24,736.7025195226167
Singapore,2022-03-25,736.2685907819172
Singapore,2022-03-28,734.7538574577517
Singapore,2022-03-29,737.7895824110964
Singapore,2022-03-30,739.2075694855116
Singapore,2022-03-31,738.6069872220991
Singapore,2022-04-01,737.0283018867925
Singapore,2022-04-04,737.1913011426466
Singapore,2022-04-05,736.105999263894
Singapore,2022-04-06,735.7268981753973
Singapore,2022-04-07,734.6459006758743
Singapore,2022-04-08,733.6218912772357
Singapore,2022-04-11,732.2788517867605
Singapore,2022-04-12,734.0527049842178
Singapore,2022-04-13,733.3528894103844
Singapore,2022-04-14,736.5397363187744
Singapore,2022-04-15,736.8653746960431
Singapore,2022-04-18,734.3761474627305
Singapore,2022-04-19,731.4753858532661
Singapore,2022-04-20,733.5142668524903
Singapore,2022-04-21,733.6218912772357
Singapore,2022-04-22,729.7672042618403
Singapore,2022-04-25,726.7970055963369
Singapore,2022-04-26,725.9528130671506
Singapore,2022-04-27,724.2702976750924
Singapore,2022-04-28,720.4610951008647
Singapore,2022-04-29,723.6937328122739
Singapore,2022-05-02,721.7090069284064
Singapore,2022-05-03,722.7000072270001
Singapore,2022-05-04,723.8508867173363
Singapore,2022-05-05,721.136511141559
Singapore,2022-05-06,722.2824124232574
Singapore,2022-05-09,719.3727069994965
Singapore,2022-05-10,719.0623427051125
Singapore,2022-05-11,720.9805335255948
Singapore,2022-05-12,715.8708568974157
Singapore,2022-05-13,717.7720356014929
Singapore,2022-05-16,717.4630506528914
Singapore,2022-05-17,721.8131947452
Singapore,2022-05-18,720.7726683004181
Singapore,2022-05-19,724.8477819657872
Singapore,2022-05-20,724.4277021153288
Singapore,2022-05-23,727.8550112817527
Singapore,2022-05-24,729.235032450959
Singapore,2022-05-25,726.2691553489723
Singapore,2022-05-26,727.8550112817527
Singapore,2022-05-27,730.3534910896874
Singapore,2022-05-30,730.2734874210392
Singapore,2022-05-31,730.1935012778387
Singapore,2022-06-01,727.1669575334497
Singapore,2022-06-02,729.0755322251385
Singapore,2022-06-03,726.5857734505557
Singapore,2022-06-06,726.9555103227683
Singapore,2022-06-07,727.5902211874272
Singapore,2022-06-08,727.4843590862796
Singapore,2022-06-09,724.3752263672583
Singapore,2022-06-10,721.0325185665873
Singapore,2022-06-13,718.5972980741593
Singapore,2022-06-14,717.8235589692054
Singapore,2022-06-15,717.9781734635267
Singapore,2022-06-16,722.3867658744491
Singapore,2022-06-17,719.6315486470927
Singapore,2022-06-20,720.8506037123807
Singapore,2022-06-21,722.0737959419453
Singapore,2022-06-22,720.876585928489
Singapore,2022-06-23,719.3727069994965
Singapore,2022-06-24,721.2925562608193
Singapore,2022-06-27,722.5433526011561
Singapore,2022-06-28,720.876585928489
Singapore,2022-06-29,718.4424168402903
Singapore,2022-06-30,719.2692224699705
Singapore,2022-07-01,715.6147130385001
Singapore,2022-07-04,713.3430823554588
Singapore,2022-07-05,711.0858280594467
Singapore,2022-07-06,711.288142826659
Singapore,2022-07-07,713.9287499107588
Singapore,2022-07-08,715.0518412584912
Singapore,2022-07-11,712.5044531528322
Singapore,2022-07-12,711.288142826659
Singapore,2022-07-13,711.9971520113919
Singapore,2022-07-14,712.85999429712
Singapore,2022-07-15,714.643035803616
Singapore,2022-07-18,716.4350193437456
Singapore,2022-07-19,718.7005893344832
Singapore,2022-07-20,718.4424168402903
Singapore,2022-07-21,718.3391997701315
Singapore,2022-07-22,721.136511141559
Singapore,2022-07-25,721.2925562608193
Singapore,2022-07-26,719.6833393306945
